Автор,Год исследования,Отчет,Год написания отчета,Вскрытие,Участок (квадрат),Глубина,Наименование,,N,E,Фотография,Count
Ахметгалин Ф.А.,2010,,2011,Раскоп I,И7,,Фрагмент сосуда чернолощеного хорошего обжига ,,55.774293421,48.660979938,fig166_3.JPG,1
Ахметгалин Ф.А.,2010,,2011,Раскоп I,И7,,Венчик сосуда белоглиняного хорошего качества ,,55.774292082,48.660982043,fig166_1.JPG,2
Ахметгалин Ф.А.,2010,,2011,Раскоп I,И7,,Фрагмент сосуда по образцу белоглиняной коричневого плохого обжига ,,55.774290312,48.660979027,fig163_2.JPG,3
Ахметгалин Ф.А.,2010,,2011,Раскоп I,И7,,Фрагменты придонной части сосуда по образцу белоглиняной коричневого плохого обжига,,55.774290332,48.66098257,fig172_6.JPG,4
Ахметгалин Ф.А.,2010,,2011,Раскоп I,И7,,Венчик сосуда по образцу белоглиняной красного хорошего обжига с двусторонним ангобом ,,55.774291921,48.660986103,fig172_5.JPG,5
Ахметгалин Ф.А.,2010,,2011,Раскоп I,И4,-100,Пуговица,,55.774288197,48.661070673,,6
Ахметгалин Ф.А.,2010,,2011,Раскоп I,З5,-115,Монета,,55.774306924,48.661039419,fig168_1.JPG,7
Ахметгалин Ф.А.,2010,,2011,Раскоп I,Ж4,-135,Пуговица,,55.774332668,48.661059676,,8
Ахметгалин Ф.А.,2010,,2011,Раскоп I,Г6,-176,Свинцовая пуля,,55.774385254,48.66099802,,9
Ахметгалин Ф.А.,2010,,2011,Раскоп I,В8,-165,Свинцовая пуля,,55.774406073,48.660944508,fig167_1.JPG,10
Ахметгалин Ф.А.,2010,,2011,Раскоп I,В7,,Фрагмент ножа,,55.77440473,48.660970618,fig164_1.JPG,11
Ахметгалин Ф.А.,2010,,2011,Раскоп I,В7,,Гвозди кованые,,55.774403962,48.660967753,fig164_2_3.JPG,12
Ахметгалин Ф.А.,2010,,2011,Раскоп I,В7,,"Придонная часть сосуда поливного: тесто – белое, полива – желтая, двусторонняя",,55.774400168,48.660974562,fig171_1.JPG,13
Ахметгалин Ф.А.,2010,,2011,Раскоп I,В7,,Венчик сосуда в развитие белоглиняной буро-серого,,55.774399196,48.660972216,fig172_1.JPG,14
Ахметгалин Ф.А.,2010,,2011,Раскоп I,В7,,Венчики сосуда чернолощеного серого лощеного,,55.774400516,48.660977832,fig165_1_3.JPG,15
Ахметгалин Ф.А.,2010,,2011,Раскоп I,В7,,Венчик сосуда по образцу белоглиняной коричневого плохого обжига ,,55.774404128,48.660976477,fig165_2_4.JPG,16
Ахметгалин Ф.А.,2010,,2011,Раскоп I,В7,,Фрагмент венчика сосуда русского белоглиняного хорошего качества ,,55.774398725,48.660977433,fig172_2.JPG,17
Ахметгалин Ф.А.,2010,,2011,Раскоп I,В7,,Венчики сосуда чернолощеного серого лощеного хорошего обжига,,55.774402471,48.66097936,fig172_3_4.JPG,18
Ахметгалин Ф.А.,2010,,2011,Раскоп I,В3,,Свинцовая пуля,,55.774399981,48.661090168,fig167_2.JPG,19
Ахметгалин Ф.А.,2010,,2011,Раскоп I,В1,-188,Фрагмент нательного креста,,55.774400036,48.661133107,,20
Ахметгалин Ф.А.,2010,,2011,Раскоп I,Б10,-168,Ручка,,55.774408838,48.660868811,,21
Ахметгалин Ф.А.,2010,,2011,Раскоп I,Б10,-248,Крестик нательный,,55.774419815,48.660874583,fig168_4.JPG,22
Ахметгалин Ф.А.,2010,,2011,Раскоп I,Б8,,Венчик сосуда по образцу или в развитие белоглиняной  коричневого плохого обжига ,,55.774413177,48.660938461,fig166_2.JPG,23
Ахметгалин Ф.А.,2010,,2011,Раскоп I,Б4,-187,Сов.монета,,55.774423891,48.661056333,,24
Ахметгалин Ф.А.,2010,,2011,Раскоп I,Б3,-188,Фрагмент шахматной фигуры,,55.774413434,48.661070019,fig171_1.JPG,25
Ахметгалин Ф.А.,2010,,2011,Раскоп I,А10,-251,Орнаментированный предмет,,55.77442448,48.660869768,,26
Ахметгалин Ф.А.,2010,,2011,Раскоп I,А9,-250,Сосуд по образцу белоглиняной коричневый плохого обжига,,55.774426635,48.660908032,fig173.JPG,27
Ахметгалин Ф.А.,2010,,2011,Раскоп I,А8,,Фрагмент белоглиняной свистульки,,55.774438157,48.660932745,fig168_5.JPG,28
Ахметгалин Ф.А.,2010,,2011,Раскоп I,А5,-175,Фрагмент изразца неполивного,,55.774443279,48.661011267,fig169.JPG,29
Ахметгалин Ф.А.,2010,,2011,Раскоп I,А5,,Фрагмент изразца неполивного,,55.774442284,48.6610138,fig170_1.JPG,30
Ахметгалин Ф.А.,2010,,2011,Раскоп I,А5,,Фрагмент изразца неполивного,,55.774444319,48.661014522,fig170_2.JPG,31
