"IDLocalReliefForm","LocalReliefFormName","Active"
"1","Не определено","true"
"2","Вытянуто вдоль края оврага","true"
"3","Вытянуто вдоль края террасы","true"
"4","Вытянуто вдоль озера (старицы)","true"
"5","На мысу между оврагами (руслами)","true"
"6","На мысу при слиянии рек","true"
"7","На мысу, образованном изгибом края террасы","true"
"8","На мысу, образованном краем террасы и оврагом","true"
"9","На останце мыса надлуговой террасы","true"
"10","У истоков оврага","true"
"11","У подножия склона террасы (горы)","true"
