"IDSourceRecord","IDMonument","IDArchiveSource","PageNumber","Active"
"7","667","{ADFF8180-48A4-43AF-923F-D671045E81A4}",,"true"
"8","669","{ADFF8180-48A4-43AF-923F-D671045E81A4}",,"true"
"9","736","{ADFF8180-48A4-43AF-923F-D671045E81A4}",,"true"
"10","735","{ADFF8180-48A4-43AF-923F-D671045E81A4}",,"true"
"11","1098","{ADFF8180-48A4-43AF-923F-D671045E81A4}",,"true"
"12","1103","{ADFF8180-48A4-43AF-923F-D671045E81A4}",,"true"
"13","1105","{ADFF8180-48A4-43AF-923F-D671045E81A4}",,"true"
"14","1106","{ADFF8180-48A4-43AF-923F-D671045E81A4}",,"true"
"15","1107","{ADFF8180-48A4-43AF-923F-D671045E81A4}",,"true"
"16","1108","{ADFF8180-48A4-43AF-923F-D671045E81A4}",,"true"
"17","1109","{ADFF8180-48A4-43AF-923F-D671045E81A4}",,"true"
"18","1110","{ADFF8180-48A4-43AF-923F-D671045E81A4}",,"true"
"19","1239","{ADFF8180-48A4-43AF-923F-D671045E81A4}",,"true"
"20","1244","{ADFF8180-48A4-43AF-923F-D671045E81A4}",,"true"
