"IDRegion","IDState","RegionName","Active"
"3","3","Аксубаевский","true"
"4","3","Актанышский","true"
"5","3","Алексеевский","true"
"6","3","Алькеевский","true"
"7","3","Альметьевский","true"
"8","3","Апастовский","true"
"14","3","Буинский","true"
"15","3","Верхнеуслонский","true"
"19","3","Заинский","true"
"20","3","Зеленодольский","true"
"21","3","Кайбицкий","true"
"22","3","Камско-Устьинский","true"
"24","3","Лаишевский","true"
"25","3","Лениногорский","true"
"26","3","Мамадышский","true"
"28","3","Мензелинский","true"
"29","3","Муслюмовский","true"
"30","3","Нижнекамский","true"
"31","3","Новошешминский","true"
"32","3","Нурлатский","true"
"34","3","Рыбно-Слободский","true"
"37","3","Спасский","true"
"38","3","Тетюшский","true"
"39","3","Тукаевский","true"
"41","3","Черемшанский","true"
"42","3","Чистопольский","true"
"50","2","Волжский","true"
"57","2","Кошкинский","true"
"65","2","Ставропольский","true"
"68","2","Челно-Вершинский","true"
"69","2","Шенталинский","true"
"70","2","Шигонский","true"
"75","4","Чердаклинский","true"
"77","4","Сурский","true"
"78","4","Карсунский","true"
"79","1","Дубенский","true"
"80","4","Ульяновский","true"
"81","4","Старомайнский","true"
"82","4","Мелекесский","true"
"83","4","Ульяновск","true"
"84","3","Набережные Челны","true"
"85","4","Новомалыклинский","true"
"86","4","Инзенский","true"
"87","1","Большеберезниковский","true"
"88","3","Елабужский","true"
"89","2","Сызранский","true"
"90","3","Спасский (Заволжье)","true"
"91","4","Новоульяновск","true"
"92","4","Сенгилеевский","true"
"93","3","Бавлинский","true"
"94","5","Кушнаренковский","true"
"95","6","Алатырский","true"
"96",,,"false"
"97",,,"false"
"98",,,"false"
"99",,,"false"
"100",,,"false"
